"","PT08.S1.CO.","NMHC.GT.","PT08.S2.NMHC.","NOx.GT.","PT08.S3.NOx.","NO2.GT.","PT08.S4.NO2.","PT08.S5.O3."
"1",1360,150,1046,166,1056,113,1692,1268
"2",1292,112,955,103,1174,92,1559,972
"3",1402,88,939,131,1140,114,1555,1074
"4",1376,80,948,172,1092,122,1584,1203
"5",1272,51,836,131,1205,116,1490,1110
"6",1197,38,750,89,1337,96,1393,949
"7",1185,31,690,62,1462,77,1333,733
"8",1136,31,672,62,1453,76,1333,730
"9",1094,24,609,45,1579,60,1276,620
"10",1010,19,561,-200,1705,-200,1235,501
"11",1011,14,527,21,1818,34,1197,445
"12",1066,8,512,16,1918,28,1182,422
"13",1052,16,553,34,1738,48,1221,472
"14",1144,29,667,98,1490,82,1339,730
"15",1333,64,900,174,1136,112,1517,1102
"16",1351,87,960,129,1079,101,1583,1028
"17",1233,77,827,112,1218,98,1446,860
"18",1179,43,762,95,1328,92,1362,671
"19",1236,61,774,104,1301,95,1401,664
"20",1286,63,869,146,1162,112,1537,799
"21",1371,164,1034,207,983,128,1730,1037
"22",1310,79,933,184,1082,126,1647,946
"23",1292,95,912,193,1103,131,1591,957
"24",1383,150,1020,243,1008,135,1719,1104
"25",1581,307,1319,281,799,151,2083,1409
"26",1776,461,1488,383,702,172,2333,1704
"27",1640,401,1404,351,743,165,2191,1654
"28",1313,197,1076,240,957,136,1707,1285
"29",965,61,749,94,1325,85,1333,821
"30",913,26,629,47,1565,53,1252,552
"31",1080,55,805,122,1254,97,1375,816
"32",1044,53,829,133,1247,110,1378,832
"33",988,40,718,82,1396,91,1304,692
"34",889,21,574,-200,1680,-200,1187,512
"35",831,10,506,21,1893,32,1134,384
"36",847,7,501,30,1895,44,1155,394
"37",927,17,571,56,1685,71,1223,487
"38",1091,33,730,109,1387,104,1361,748
"39",1587,202,1236,307,897,141,1900,1400
"40",1545,-200,1353,-200,767,-200,2058,1588
"41",1350,208,1118,187,912,122,1712,1237
"42",1263,166,1037,216,969,143,1598,1167
"43",1206,114,986,143,1035,113,1537,959
"44",1252,140,1016,160,1008,116,1593,983
"45",1287,169,1078,163,949,123,1660,1061
"46",1353,185,1122,190,922,126,1740,1139
"47",1309,165,1073,178,954,120,1657,1112
"48",1274,133,1041,150,1006,119,1610,994
"49",1510,233,1277,206,812,149,1910,1410
"50",1525,242,1246,202,821,145,1847,1448
"51",1843,488,1610,340,624,170,2390,1887
"52",1598,333,1299,274,752,149,1941,1627
"53",1484,215,1127,253,839,139,1723,1491
"54",1677,367,1346,300,741,134,2062,1657
"55",1280,122,964,193,963,113,1544,1285
"56",1196,67,873,139,1071,97,1463,1144
"57",1184,43,782,83,1176,82,1365,1043
"58",1172,46,783,-200,1179,-200,1380,996
"59",1147,56,821,109,1132,83,1412,992
"60",978,30,625,62,1420,65,1274,819
"61",1100,27,646,53,1406,60,1268,835
"62",1112,47,770,139,1228,77,1409,940
"63",1336,132,1043,256,935,96,1678,1192
"64",1408,239,1153,295,830,119,1777,1411
"65",1447,160,1081,250,869,126,1667,1465
"66",1542,283,1184,296,808,158,1780,1583
"67",1451,210,1117,239,875,161,1679,1387
"68",1328,154,1059,153,987,124,1600,1101
"69",1207,112,924,118,1088,102,1488,850
"70",1240,108,947,119,1049,116,1532,947
"71",1306,111,987,138,1004,124,1554,1078
"72",1326,97,1000,148,976,125,1602,1084
"73",1473,191,1163,227,831,148,1779,1395
"74",1609,258,1286,277,758,165,1922,1612
"75",1611,284,1274,279,754,161,1915,1697
"76",1621,269,1247,283,762,159,1860,1886
"77",1444,180,1089,214,844,143,1748,1624
"78",1418,116,1010,172,892,130,1603,1536
"79",1534,93,1013,190,889,129,1611,1535
"80",1484,131,1045,174,880,119,1624,1530
"81",1367,92,925,128,953,104,1543,1337
"82",1344,132,968,-200,921,-200,1620,1278
"83",1130,56,773,70,1130,82,1452,1051
"84",1062,32,691,53,1272,70,1377,929
"85",1076,29,618,44,1395,63,1333,872
