name	mfr	calories	protein	fat	sodium	fiber	carbo	sugars	potass	vitamins
100%_Bran	N	70	4	1	130	10	5	6	280	25
100%_Natural_Bran	Q	120	3	5	15	2	8	8	135	0
All-Bran	K	70	4	1	260	9	7	5	320	25
All-Bran_with_Extra_Fiber	K	50	4	0	140	14	8	0	330	25
Almond_Delight	R	110	2	2	200	1	14	8	90	25
Apple_Cinnamon_Cheerios	G	110	2	2	180	1.5	10.5	10	70	25
Apple_Jacks	K	110	2	0	125	1	11	14	30	25
Basic_4	G	130	3	2	210	2	18	8	100	25
Bran_Chex	R	90	2	1	200	4	15	6	125	25
Bran_Flakes	P	90	3	0	210	5	13	5	190	25
Cap'n'Crunch	Q	120	1	2	220	0	12	12	35	25
Cheerios	G	110	6	2	290	2	17	1	105	25
Cinnamon_Toast_Crunch	G	120	1	3	210	0	13	9	45	25
Clusters	G	110	3	2	140	2	13	7	105	25
Cocoa_Puffs	G	110	1	1	180	0	12	13	55	25
Corn_Chex	R	110	2	0	280	0	22	3	25	25
Corn_Flakes	K	100	2	0	290	1	21	2	35	25
Corn_Pops	K	110	1	0	90	1	13	12	20	25
Count_Chocula	G	110	1	1	180	0	12	13	65	25
Cracklin'_Oat_Bran	K	110	3	3	140	4	10	7	160	25
Cream_of_Wheat_(Quick)	N	100	3	0	80	1	21	0	90	0
Crispix	K	110	2	0	220	1	21	3	30	25
Crispy_Wheat_&_Raisins	G	100	2	1	140	2	11	10	120	25
Double_Chex	R	100	2	0	190	1	18	5	80	25
Froot_Loops	K	110	2	1	125	1	11	13	30	25
Frosted_Flakes	K	110	1	0	200	1	14	11	25	25
Frosted_Mini-Wheats	K	100	3	0	0	3	14	7	100	25
Fruit_&_Fibre_Dates,_Walnuts,_and_Oats	P	120	3	2	160	5	12	10	200	25
Fruitful_Bran	K	120	3	0	240	5	14	12	190	25
Fruity_Pebbles	P	110	1	1	135	0	13	12	25	25
Golden_Crisp	P	100	2	0	45	0	11	15	40	25
Golden_Grahams	G	110	1	1	280	0	15	9	45	25
Grape_Nuts_Flakes	P	100	3	1	140	3	15	5	85	25
Grape-Nuts	P	110	3	0	170	3	17	3	90	25
Great_Grains_Pecan	P	120	3	3	75	3	13	4	100	25
Honey_Graham_Ohs	Q	120	1	2	220	1	12	11	45	25
Honey_Nut_Cheerios	G	110	3	1	250	1.5	11.5	10	90	25
Honey-comb	P	110	1	0	180	0	14	11	35	25
Just_Right_Crunchy__Nuggets	K	110	2	1	170	1	17	6	60	100
Just_Right_Fruit_&_Nut	K	140	3	1	170	2	20	9	95	100
Kix	G	110	2	1	260	0	21	3	40	25
Life	Q	100	4	2	150	2	12	6	95	25
Lucky_Charms	G	110	2	1	180	0	12	12	55	25
Maypo	A	100	4	1	0	0	16	3	95	25
Muesli_Raisins,_Dates,_&_Almonds	R	150	4	3	95	3	16	11	170	25
Muesli_Raisins,_Peaches,_&_Pecans	R	150	4	3	150	3	16	11	170	25
Mueslix_Crispy_Blend	K	160	3	2	150	3	17	13	160	25
Multi-Grain_Cheerios	G	100	2	1	220	2	15	6	90	25
Nut&Honey_Crunch	K	120	2	1	190	0	15	9	40	25
Nutri-Grain_Almond-Raisin	K	140	3	2	220	3	21	7	130	25
Nutri-grain_Wheat	K	90	3	0	170	3	18	2	90	25
Oatmeal_Raisin_Crisp	G	130	3	2	170	1.5	13.5	10	120	25
Post_Nat._Raisin_Bran	P	120	3	1	200	6	11	14	260	25
Product_19	K	100	3	0	320	1	20	3	45	100
Puffed_Rice	Q	50	1	0	0	0	13	0	15	0
Puffed_Wheat	Q	50	2	0	0	1	10	0	50	0
Quaker_Oat_Squares	Q	100	4	1	135	2	14	6	110	25
Quaker_Oatmeal	Q	100	5	2	0	2.7	14	7	110	0
Raisin_Bran	K	120	3	1	210	5	14	12	240	25
Raisin_Nut_Bran	G	100	3	2	140	2.5	10.5	8	140	25
Raisin_Squares	K	90	2	0	0	2	15	6	110	25
Rice_Chex	R	110	1	0	240	0	23	2	30	25
Rice_Krispies	K	110	2	0	290	0	22	3	35	25
Shredded_Wheat	N	80	2	0	0	3	16	0	95	0
Shredded_Wheat_'n'Bran	N	90	3	0	0	4	19	0	140	0
Shredded_Wheat_spoon_size	N	90	3	0	0	3	20	0	120	0
Smacks	K	110	2	1	70	1	9	15	40	25
Special_K	K	110	6	0	230	1	16	3	55	25
Strawberry_Fruit_Wheats	N	90	2	0	15	3	15	5	90	25
Total_Corn_Flakes	G	110	2	1	200	0	21	3	35	100
Total_Raisin_Bran	G	140	3	1	190	4	15	14	230	100
Total_Whole_Grain	G	100	3	1	200	3	16	3	110	100
Triples	G	110	2	1	250	0	21	3	60	25
Trix	G	110	1	1	140	0	13	12	25	25
Wheat_Chex	R	100	3	1	230	3	17	3	115	25
Wheaties	G	100	3	1	200	3	17	3	110	25
Wheaties_Honey_Gold	G	110	2	1	200	1	16	8	60	25
