;T.epaule;T.poitrine;T.taille;Masse;Taille
H1;106,2;89,5;71,5;65,6;174
H2;110,5;97;79;71,8;175,3
H3;115,1;97,5;83,2;80,7;193,5
H4;104,5;97;77,8;72,6;186,5
H5;107,5;97,5;80;78,8;187,2
H6;119,8;99,9;82,5;74,8;181,5
H7;123,5;106,9;82;86,4;184
H8;120,4;102,5;76,8;78,4;184,5
H9;111;91;68,5;62;175
H10;119,5;93,5;77,5;81,6;184
F1;105;89;71,2;67,3;169,5
F2;100,2;94,1;79,6;75,5;160
F3;99,1;90,8;77,9;68,2;172,7
F4;107,6;97;69,6;61,4;162,6
F5;104;95,4;86;76,8;157,5
F6;108,4;91,8;69,9;71,8;176,5
F7;99,3;87,3;63,5;55,5;164,4
F8;91,9;78,1;57,9;48,6;160,7
F9;107,1;90,9;72,2;66,4;174
F10;100,5;97,1;80,4;67,3;163,8
